기준년도,노드id,노드위치,y좌표,x좌표,노드유형,노드명,위험운전행동회귀계수,교차로규모회귀계수,회귀확산도,교차로위험수준,교차로위험순위,교차로안전등급,교차로참조집단위험수준,권역교차로위험순위,20km이상과속카운트,40km이상과속카운트,60km이상과속카운트,장기과속카운트,급가속카운트,급출발카운트,급감속카운트,급정지카운트,급좌회전카운트,급우회전카운트,급유턴카운트,급앞지르기카운트,급진로변경카운트,공회전기준시간초과카운트,사고카운트
2018,1150026400,서울특별시 강서구,179599.0627,450805.5259,101,중동대로삼거리,0.424729206,0.57107048,0.560021374,-0.088604516,47027,B,2.088604516,271,28.6,8.5,5.9,0,1843.2,155.6,349.9,116.7,639.9,79.1,41.3,12.6,29.3,14,2
2018,1150051000,서울특별시 강서구,182118.7573,453674.7756,101,개화동교회앞_일반국도48호선_진,0.424729206,0.57107048,0.560021374,-1.390193871,5526,A,1.390193871,193,249.2,14.1,1.6,0,470.6,36.8,184.2,19.5,11.4,610.8,3.4,5.7,80.1,0.6,
2018,1150050800,서울특별시 강서구,182140.5252,453588.4351,101,내촌마을길삼거리,0.424729206,0.57107048,0.560021374,-2.011719933,2458,A,2.011719933,32,172.7,9.8,1.9,0,1038.8,98.6,254.8,51.7,32.7,18.3,12.8,10.2,122.1,8.2,
2018,1150051100,서울특별시 강서구,182185.7543,453695.3096,101,개화동교회앞_일반국도48호선_진,0.424729206,0.57107048,0.560021374,-1.41678389,5327,A,1.41678389,190,10.8,0.7,0.2,0,1138.4,93.6,655.1,147.6,495.8,1049.8,288.1,102.9,275.8,0.1,
2018,1150051200,서울특별시 강서구,182189.0102,453734.8441,101,개화2동상사마을,0.424729206,0.57107048,0.560021374,0.337654033,61083,C,1.662345967,317,161,6.4,0.3,0,1281.8,123.1,386.3,114.3,498.5,6.9,91.5,32.3,140.2,4.5,2
2018,1150050700,서울특별시 강서구,182194.2978,453501.0749,101,개화동교회앞,0.424729206,0.57107048,0.560021374,-0.246200915,30706,B,3.246200915,249,157.3,7.9,2.2,0,2695.8,259,430.1,100.8,24.3,34.7,19.8,28.2,243.2,0.8,3
2018,1150035000,서울특별시 강서구,182210.3234,451463.6572,101,김포공항내부13,0.424729206,0.57107048,0.560021374,-3.664407514,311,A,3.664407514,169,1,0.3,0.2,0,1318.8,145,235.9,89.7,13358.3,36.3,33.2,3.6,105.4,8.3,
2018,1150050400,서울특별시 강서구,182223.2239,453255.9763,101,내촌마을길사거리,0.424729206,0.57107048,0.560021374,-1.178432981,7301,B,2.178432981,223,639.1,191.9,10,0,369.3,20.7,153.4,30.3,120.8,123.5,33.3,253.8,1718.3,2.8,1
2018,1150034800,서울특별시 강서구,182285.58,451454.3616,101,한국공항공사앞,0.424729206,0.57107048,0.560021374,-3.047949707,656,A,3.047949707,166,34.3,5.1,0.3,0,4106.3,513.2,379.3,53.9,26.9,51.9,33,33.8,66,8.3,
2018,1150050600,서울특별시 강서구,182302.5761,453293.9271,0,개화역삼거리,0.424729206,0.57107048,0.560021374,-1.689266671,3748,B,6.689266671,222,126.9,4.3,1.5,0,6028.3,627.8,843.8,285.9,4635.5,1073.7,75.9,74,325.4,1.1,5
